City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Hervey Bay,AU,2022-04-04 16:59:38,-25.2986,152.8535,71.65,79,3,7.74
236,Codrington,AU,2022-04-04 16:59:38,-38.2667,141.9667,50.61,89,70,2.77
237,Encarnacion,PY,2022-04-04 16:59:38,-27.3333,-55.9,75.72,73,100,6.91
238,Gamba,GA,2022-04-04 16:59:39,-2.65,10.0,79.84,81,97,4.65
239,Rawson,AR,2022-04-04 16:59:39,-43.3002,-65.1023,65.21,33,55,20.04
240,Rodrigues Alves,BR,2022-04-04 16:59:39,-7.738,-72.6509,86.2,50,34,1.72
241,Pangody,RU,2022-04-04 16:59:40,65.85,74.4859,31.06,98,100,15.05
242,Hamilton,US,2022-04-04 16:55:19,39.1834,-84.5333,54.1,58,100,5.01
243,Camana,PE,2022-04-04 16:59:40,-16.6228,-72.7111,73.47,72,38,9.24
244,Cabo San Lucas,MX,2022-04-04 16:58:57,22.8909,-109.9124,76.6,60,24,12.95
245,Cabedelo,BR,2022-04-04 16:59:41,-6.9811,-34.8339,86.67,62,27,13.42
246,Desaguadero,PE,2022-04-04 16:59:41,-16.5656,-69.0417,54.07,57,79,11.72
247,Batemans Bay,AU,2022-04-04 16:59:41,-35.7167,150.1833,57.27,84,1,3.91
248,Guayaramerin,BO,2022-04-04 16:59:42,-10.8368,-65.3614,86.05,62,75,2.3
249,Ushtobe,KZ,2022-04-04 16:59:42,45.2514,77.9838,59.88,36,99,6.55
250,Obidos,BR,2022-04-04 16:57:01,-1.9175,-55.5181,75.09,95,100,3.87
251,Longyearbyen,SJ,2022-04-04 16:59:42,78.2186,15.6401,10.24,56,16,23.02
252,Mayumba,GA,2022-04-04 16:59:43,-3.432,10.6554,80.74,81,90,5.61
253,Ouro Preto Do Oeste,BR,2022-04-04 16:59:43,-10.7481,-62.2158,85.71,69,7,1.83
254,Niteroi,BR,2022-04-04 16:55:56,-22.8833,-43.1036,92.82,62,20,9.22
255,Lasa,IT,2022-04-04 16:59:43,46.6166,10.7002,44.69,85,61,1.95
256,Gari,RU,2022-04-04 16:59:44,59.4307,62.3497,31.17,96,82,2.59
257,Namibe,AO,2022-04-04 16:56:03,-15.1961,12.1522,71.06,80,88,11.99
258,Boyolangu,ID,2022-04-04 16:59:44,-8.1181,111.8935,75.04,89,14,0.22
259,Ancud,CL,2022-04-04 16:52:38,-41.8697,-73.8203,54.23,81,100,8.66
260,Iqaluit,CA,2022-04-04 16:52:35,63.7506,-68.5145,10.13,72,20,23.02
261,Nantucket,US,2022-04-04 16:59:45,41.2835,-70.0995,48.02,64,51,12.77
262,Emerald,AU,2022-04-04 16:59:45,-23.5333,148.1667,69.94,94,6,4.61
263,Kavieng,PG,2022-04-04 16:59:45,-2.5744,150.7967,79.52,85,100,16.44
264,Along,IN,2022-04-04 16:59:46,28.1667,94.7667,65.55,96,100,1.16
265,Cidreira,BR,2022-04-04 16:59:46,-30.1811,-50.2056,71.24,85,100,8.88
266,Beira,MZ,2022-04-04 16:58:38,-19.8436,34.8389,80.69,83,20,11.99
267,Luanda,AO,2022-04-04 16:59:46,-8.8368,13.2343,82.4,74,20,11.5
268,Cloquet,US,2022-04-04 16:59:47,46.7216,-92.4594,37.35,84,57,4.61
269,Chara,RU,2022-04-04 16:59:47,56.9064,118.2631,-0.63,75,94,2.71
270,Mosjoen,NO,2022-04-04 16:58:07,65.836,13.1908,34.66,47,20,2.3
271,Bitung,ID,2022-04-04 16:59:47,1.4451,125.1824,77.85,80,98,4.45
272,Petropavlovsk-Kamchatskiy,RU,2022-04-04 16:59:48,53.0452,158.6483,23.59,68,0,8.95
273,Leh,IN,2022-04-04 16:55:04,34.1667,77.5833,27.88,52,1,5.73
274,Bandarbeyla,SO,2022-04-04 16:59:48,9.4942,50.8122,80.11,72,60,8.68
275,Aksu,CN,2022-04-04 17:00:26,41.1231,80.2644,62.6,21,0,4.7
276,Martapura,ID,2022-04-04 17:00:48,-3.4167,114.85,75.29,100,75,3.44
277,Biak,ID,2022-04-04 17:00:49,-0.9131,122.8766,76.12,82,98,3.31
278,Viedma,AR,2022-04-04 17:00:49,-40.8135,-62.9967,66.27,31,12,14.81
279,Labrea,BR,2022-04-04 17:00:49,-7.2586,-64.7981,92.21,50,94,1.19
280,Airai,TL,2022-04-04 16:52:41,-8.9266,125.4092,58.42,91,14,1.12
281,Monteagudo,BO,2022-04-04 17:00:50,-19.8167,-63.9833,77.99,42,92,2.26
282,Bambous Virieux,MU,2022-04-04 17:00:50,-20.3428,57.7575,78.22,80,100,12.48
283,Araouane,ML,2022-04-04 17:00:51,18.9048,-3.5265,102.0,7,0,7.83
284,Samarai,PG,2022-04-04 17:00:51,-10.6167,150.6667,81.63,79,100,10.89
285,Inongo,CD,2022-04-04 17:00:51,-1.95,18.2667,78.21,76,30,1.01
286,Majene,ID,2022-04-04 17:00:52,-3.5403,118.9707,77.76,84,97,3.09
287,Xuanhua,CN,2022-04-04 17:00:52,40.6103,115.0447,55.69,25,7,4.68
288,Zhigansk,RU,2022-04-04 17:00:52,66.7697,123.3711,-0.62,96,90,13.0
289,Talnakh,RU,2022-04-04 17:00:52,69.4865,88.3972,-0.9,90,22,7.87
290,Yinchuan,CN,2022-04-04 17:00:53,38.4681,106.2731,54.93,14,0,2.64
291,Manokwari,ID,2022-04-04 17:00:53,-0.8667,134.0833,77.68,82,99,3.62
292,Lahij,YE,2022-04-04 17:00:54,13.1667,44.5833,80.01,37,2,4.76
